行政區,里別,鄰別,基本學區
佳里區,下營,全里,佳里國中
佳里區,六安,全里,佳里國中
佳里區,文新,全里,佳里國中
佳里區,安西,全里,佳里國中
佳里區,忠仁,全里,佳里國中
佳里區,東寧,全里,佳里國中
佳里區,南勢,全里,佳里國中
佳里區,建南,全里,佳里國中
佳里區,海澄,全里,佳里國中
佳里區,塭內,全里,佳里國中
佳里區,鎮山,全里,佳里國中
七股區,大埕,全里,佳里國中、昭明國中共同學區
七股區,篤加,全里,佳里國中、昭明國中共同學區
七股區,大潭,全里,佳里國中、昭明國中、將軍國中共同學區
七股區,西寮,全里,佳里國中、昭明國中、將軍國中共同學區
七股區,後港,全里,佳里國中、昭明國中、將軍國中共同學區
七股區,頂山,全里,佳里國中、昭明國中、將軍國中共同學區
將軍區,鯤溟,全里,佳里國中、昭明國中、將軍國中共同學區
將軍區,鯤鯓,全里,佳里國中、昭明國中、將軍國中共同學區
將軍區,將軍,14 鄰,佳里國中、昭明國中、將軍國中共同學區
佳里區,子龍,全里,佳興國中
佳里區,民安,全里,佳興國中
佳里區,佳化,全里,佳興國中
佳里區,佳興,全里,佳興國中
佳里區,營溪,全里,佳興國中
學甲區,三慶,全里,學甲國中
學甲區,大灣,全里,學甲國中
學甲區,中洲,全里,學甲國中
學甲區,仁得,全里,學甲國中
學甲區,平和,全里,學甲國中
學甲區,光華,全里,學甲國中
學甲區,宅港,全里,學甲國中
學甲區,秀昌,全里,學甲國中
學甲區,明宜,全里,學甲國中
學甲區,慈福,全里,學甲國中
學甲區,新達,全里,學甲國中
學甲區,新榮,全里,學甲國中
學甲區,豐和,全里,學甲國中
西港區,永樂,全里,西港國中
西港區,竹林,全里,西港國中
西港區,西港,全里,西港國中
西港區,金砂,全里,西港國中
西港區,南海,全里,西港國中
西港區,後營,全里,西港國中
西港區,港東,全里,西港國中
西港區,新復,全里,西港國中
西港區,劉厝,全里,西港國中
西港區,慶安,全里,西港國中
西港區,檨林,全里,西港國中
西港區,營西,全里,西港國中
七股區,十份,全里,竹橋國中
七股區,三股,全里,竹橋國中
七股區,永吉,全里,竹橋國中
七股區,竹橋,全里,竹橋國中
七股區,義合,全里,竹橋國中
七股區,樹林,1 至 8 鄰,竹橋國中
七股區,樹林,9 至 13 鄰,竹橋國中、昭明國中共同學區
七股區,七股,全里,竹橋國中、昭明國中共同學區
七股區,溪南,全里,竹橋國中、昭明國中共同學區
七股區,中寮,全里,昭明國中
七股區,玉成,全里,昭明國中
七股區,塩埕,全里,昭明國中
七股區,龍山,全里,昭明國中
將軍區,平沙,全里,將軍國中
將軍區,玉山,全里,將軍國中
將軍區,西甲,全里,將軍國中
將軍區,忠嘉,全里,將軍國中
將軍區,長沙,全里,將軍國中
將軍區,長榮,全里,將軍國中
將軍區,巷埔,全里,將軍國中
將軍區,苓仔寮,全里,將軍國中
將軍區,將軍,1 至 13 鄰,將軍國中
將軍區,廣山,全里,將軍國中
北門區,三光,全里,北門國中
北門區,文山,全里,北門國中
北門區,北門,全里,北門國中
北門區,永隆,全里,北門國中
北門區,玉港,全里,北門國中
北門區,保吉,全里,北門國中
北門區,蚵寮,全里,北門國中
北門區,慈安,全里,北門國中
北門區,錦湖,全里,北門國中
北門區,雙春,全里,北門國中
新化區,大坑,全里,新化國中
新化區,山脚,全里,新化國中
新化區,太平,全里,新化國中
新化區,北勢,全里,新化國中
新化區,全興,全里,新化國中
新化區,羊林,全里,新化國中
新化區,那拔,全里,新化國中
新化區,協興,全里,新化國中
新化區,東榮,全里,新化國中
新化區,武安,全里,新化國中
新化區,知義,全里,新化國中
新化區,唪口,全里,新化國中
新化區,崙頂,全里,新化國中
新化區,礁坑,全里,新化國中
新化區,豐榮,全里,新化國中
新化區,護國,全里,新化國中
左鎮區,澄山,全里,新化國中、左鎮國中共同學區
善化區,什乃,全里,善化國中
善化區,六分,全里,善化國中
善化區,六德,全里,善化國中
善化區,文正,全里,善化國中
善化區,田寮,全里,善化國中
善化區,光文,1、5 至 6、13 鄰,善化國中
善化區,東關,全里,善化國中
善化區,胡厝,全里,善化國中、南科實中共同學區
善化區,胡家,全里,善化國中
善化區,頂街,全里,善化國中
善化區,溪美,全里,善化國中
善化區,嘉北,全里,善化國中、蓮潭國中小共同學區
善化區,牛庄,全里,善化國中、蓮潭國中小共同學區
善化區,昌隆,全里,善化國中、蓮潭國中小共同學區
善化區,南關,全里,善化國中、蓮潭國中小、南科實中共同學區
善化區,坐駕,1 至 12、15 至 16 鄰,善化國中、蓮潭國中小、南科實中共同學區
善化區,文昌,2 至 14 鄰,善化國中、蓮潭國中小、南科實中共同學區
善化區,光文,2 至 4、7 至 12、14 至 25 鄰,善化國中、蓮潭國中小共同學區
善化區,小新,全里,蓮潭國中小
善化區,蓮潭,全里,蓮潭國中小
善化區,坐駕,13 至 14、17 鄰,蓮潭國中小
善化區,文昌,1 鄰,蓮潭國中小
善化區,嘉南,全里,蓮潭國中小
新市區,大營,12 鄰,蓮潭國中小
新市區,三舍,全里,新市國中、南科實中共同學區
新市區,大社,全里,新市國中
新市區,大洲,全里,新市國中、南科實中共同學區
新市區,大營,1 至 11 鄰,新市國中
新市區,永就,全里,新市國中
新市區,社內,全里,新市國中、南科實中共同學區
